address,attempts,attempts_refunded,mint_received,refund_missing
Hw14WouZAqyv7ppqfghXHYSF6N1HfWCmgtXSXLLorcEj,5,4,1,0
A3tYT4nLA6UmqKCWfEj4v2NMf34ssfoU5xMqsVgoWjt1,2,1,1,0
Du6ELgGM5vtZagqbCr6NZ3vX9dK7QseTJZ2B2xs1jW8t,1,0,1,0
qsi7npthmMqmTR8vTry9m25871TFHefQr8Mz2pBKgNf,3,2,1,0
ANYQXzVdKewhu13WuUprGi5V6upJy7ttcf7wjRiiXj1m,1,0,1,0
7Fp4mE464KuJYXMrAUsn5wro73a9JtaPhE8BJxbdkTQB,4,3,1,0
7BVRWg9YLESHZwwvfnRkZt8HdSSFPNZcpxS1xTcgAZ3H,2,1,1,0
D4TgLvHaTvtkKuW93VWTfxzoooYsKhScwJd2D23VuZ1u,5,4,1,0
An6MKtv51KibZkki9sURaaK1Ygz7eNogWp5mdf77euBH,1,0,1,0
3mbJ7ecG571osTthdyiEBSHruvK3eP9QPsBcuVJsbGcS,5,4,1,0
2rL9szj1oyjAdUJe6yWxMXm8LC7rzagW89BNgHBuigGS,1,0,1,0
H7ERwmx7YDwFft9LaTfJ7BkEJG44P6TtkWoF1m8xHw2v,4,3,1,0
Bj2vmLg5w45oUUD7CKbPfKZRN5DbLZYTvCh1hnj3F5SW,1,0,1,0
FFDASyqjHV6qU8hsHn8iybu8Sv5YY3B51oqcnD9xPipy,2,1,1,0
D3Bihbu5wrjcD7gGtndj68pLZjVJnxcjtxsfjADg9o1e,8,7,1,0
36xWoq7uYRkL35sDnHWY8bPjfkZmze4pUQwstQgB96Jk,1,0,1,0
89LhYNPtzK6DzpNSeFg9gkgXZc1mBaNskR9pYwUskphp,2,1,1,0
EogVv8acAy5zxyhX2XgtkVoENcS6pzypiE3BQ2GihTQy,2,1,1,0
2rcbkBit5tN61VwxXbonu3fBrSMkNpUMuABzxgCka5U9,3,2,1,0
Bm4qdp3FEKXWH151r4SNbCkp8BbE1qDXKfk1DaCr7RnT,1,0,1,0
M3uwxDUnbwbuKUnJt7oMDGUgTM64M9oXYCkCDxEdR3o,2,1,1,0
555ddL5e2iE7t9cZQNngCE64gaGW4LYaD8e3g3V162K6,1,0,1,0
3sdKe7b9XqDCWkMHTdyw4BVUrSVwjWDiDzAqBRg1kLRU,4,3,1,0
G1HveTVGMnsUC5smht3gzrFcZFxXLP4AszBqCT11bwX9,2,1,1,0
8K6Umva4CA5wHbvgGJHWd4JevM9E6T6MKGV2QSpQJAgu,2,1,1,0
